time,avg_price,max_price,min_price,trades,unique_buyers,volume
2022-05-26,0.031751,0.22000000000000003,0.0015,8.0,3.0,0.25401
2022-05-27,0.0024660000000000003,0.003,0.0022,3.0,1.0,0.0074
2022-05-28,0.0015090000000000001,0.002,0.0015,113.0,9.0,0.170609
2022-05-29,0.002968,0.030000000000000002,0.0015,37.0,9.0,0.10984000000000001
2022-05-30,0.0015140000000000002,0.002785,0.0015,88.0,5.0,0.13328500000000001
2022-05-31,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-06-01,0.0026060000000000002,0.1,0.0015,89.0,4.0,0.232
2022-06-02,0.0015170000000000001,0.0018000000000000002,0.0015,33.0,4.0,0.050071000000000004
2022-06-03,0.0023220000000000003,0.003,0.0016,4.0,3.0,0.009289
2022-06-04,0.14500000000000002,0.25,0.04,2.0,2.0,0.29000000000000004
2022-06-05,0.0017850000000000001,0.003,0.0015,7.0,5.0,0.0125
2022-06-06,0.0015,0.0015,0.0015,2.0,2.0,0.003
2022-06-07,0.06386,0.30000000000000004,0.0015,5.0,4.0,0.31930000000000003
2022-06-08,0.00538,0.01,0.0015,5.0,3.0,0.0269
2022-06-09,0.0015660000000000001,0.0017000000000000001,0.0015,3.0,1.0,0.0047
2022-06-10,0.007,0.01,0.004,2.0,2.0,0.014
2022-06-11,0.0015,0.0015,0.0015,1.0,1.0,0.0015
2022-06-14,0.0016150000000000001,0.0017300000000000002,0.0015,2.0,2.0,0.0032300000000000002
2022-06-15,0.1683,1.0,0.0019000000000000002,6.0,2.0,1.0098
2022-06-16,0.002032,0.0033000000000000004,0.0015,15.0,1.0,0.030480000000000004
2022-06-17,0.0028350000000000003,0.007,0.0018000000000000002,9.0,2.0,0.025519000000000003
2022-06-18,0.009000000000000001,0.009000000000000001,0.009000000000000001,1.0,1.0,0.009000000000000001
2022-06-19,0.019181,0.02,0.0182,11.0,1.0,0.21100000000000002
2022-06-20,0.0068200000000000005,0.0068200000000000005,0.0068200000000000005,1.0,1.0,0.0068200000000000005
2022-06-22,0.00825,0.01,0.006500000000000001,2.0,2.0,0.0165
2022-06-23,0.025,0.025,0.025,1.0,1.0,0.025
2022-06-26,0.5012000000000001,1.5,0.0017000000000000001,3.0,3.0,1.5036
2022-06-29,0.0032400000000000003,0.005600000000000001,0.0017000000000000001,5.0,1.0,0.016200000000000003
2022-06-30,0.07,0.07,0.07,1.0,1.0,0.07
2022-07-02,0.005158,0.0057,0.0046,5.0,3.0,0.02579
2022-07-03,0.6023580000000001,3.0,0.0015,5.0,4.0,3.0117900000000004
2022-07-04,0.005496,0.01,0.0015,3.0,3.0,0.01649
2022-07-05,0.00384,0.05,0.0015,36.0,3.0,0.13825
2022-07-06,0.002533,0.00888,0.0015,20.0,4.0,0.05067000000000001
2022-07-07,0.002576,0.00423,0.0015,3.0,3.0,0.007730000000000001
2022-07-08,0.005,0.005,0.005,2.0,2.0,0.01
2022-07-09,0.003268,0.0046,0.0017000000000000001,4.0,4.0,0.013075000000000002
2022-07-10,0.0071,0.01,0.0043,3.0,2.0,0.021300000000000003
2022-07-11,0.00898,0.030000000000000002,0.0015,5.0,3.0,0.0449
2022-07-12,0.01293,0.027000000000000003,0.0017900000000000001,3.0,2.0,0.038790000000000005
2022-07-13,0.055900000000000005,0.09000000000000001,0.005,10.0,4.0,0.559
2022-07-14,0.054881000000000006,0.15000000000000002,0.0015,26.0,9.0,1.4269100000000001
2022-07-15,0.05115,0.065,0.005,20.0,4.0,1.0230000000000001
2022-07-16,0.8832500000000001,3.5000000000000004,0.0015,4.0,4.0,3.5330000000000004
2022-07-17,0.005211,0.01,0.0015,7.0,3.0,0.036480000000000005
2022-07-18,0.0016,0.0018000000000000002,0.0015,3.0,3.0,0.0048000000000000004
2022-07-19,0.025227000000000003,0.060000000000000005,0.0015,11.0,5.0,0.2775
2022-07-20,0.016162000000000003,0.05,0.0018000000000000002,8.0,6.0,0.129299
2022-07-21,0.023857000000000003,0.05,0.0015,7.0,4.0,0.167
2022-07-22,0.012060000000000001,0.037000000000000005,0.0015,5.0,4.0,0.060300000000000006
2022-07-23,0.002615,0.0032300000000000002,0.002,2.0,2.0,0.00523
2022-07-24,0.032357000000000004,0.05,0.0015,7.0,3.0,0.2265
2022-07-25,0.21592000000000003,1.999,0.0033000000000000004,10.0,5.0,2.1592000000000002
2022-07-26,0.00738,0.05,0.002,15.0,5.0,0.1107
2022-07-27,0.005435000000000001,0.037000000000000005,0.0015,20.0,9.0,0.1087
2022-07-28,0.014053000000000001,0.060000000000000005,0.002,16.0,5.0,0.22486
2022-07-29,0.023465000000000003,0.08,0.0015,8.0,6.0,0.18772000000000003
2022-07-30,0.00666,0.025,0.0015,5.0,4.0,0.0333
2022-07-31,0.00254,0.004,0.0015,5.0,5.0,0.012700000000000001
2022-08-01,0.029044,0.30000000000000004,0.0017000000000000001,11.0,4.0,0.31948800000000005
2022-08-02,0.030287,0.065,0.0032,8.0,2.0,0.24230000000000002
2022-08-03,0.046442000000000004,0.309,0.0015,7.0,6.0,0.3251
2022-08-04,0.026275000000000003,0.0666,0.0035,4.0,4.0,0.10510000000000001
2022-08-05,0.0055000000000000005,0.0055000000000000005,0.0055000000000000005,1.0,1.0,0.0055000000000000005
2022-08-07,0.026465000000000002,0.05,0.0029300000000000003,2.0,2.0,0.052930000000000005
2022-08-08,0.0263,0.1,0.0017000000000000001,4.0,2.0,0.1052
2022-08-09,0.0028280000000000002,0.005,0.0018000000000000002,9.0,3.0,0.025460000000000003
2022-08-10,0.013000000000000001,0.013000000000000001,0.013000000000000001,1.0,1.0,0.013000000000000001
